time	time	departures_all	arrivals_all	stuck_all	en-route_all	departures_car	arrivals_car	stuck_car	en-route_car
00:00:00	0	0	0	0	0	0	0	0	0
00:05:00	300	0	0	0	0	0	0	0	0
00:10:00	600	0	0	0	0	0	0	0	0
00:15:00	900	0	0	0	0	0	0	0	0
00:20:00	1200	0	0	0	0	0	0	0	0
00:25:00	1500	0	0	0	0	0	0	0	0
00:30:00	1800	0	0	0	0	0	0	0	0
00:35:00	2100	0	0	0	0	0	0	0	0
00:40:00	2400	0	0	0	0	0	0	0	0
00:45:00	2700	0	0	0	0	0	0	0	0
00:50:00	3000	0	0	0	0	0	0	0	0
00:55:00	3300	0	0	0	0	0	0	0	0
01:00:00	3600	0	0	0	0	0	0	0	0
01:05:00	3900	0	0	0	0	0	0	0	0
01:10:00	4200	0	0	0	0	0	0	0	0
01:15:00	4500	0	0	0	0	0	0	0	0
01:20:00	4800	0	0	0	0	0	0	0	0
01:25:00	5100	0	0	0	0	0	0	0	0
01:30:00	5400	0	0	0	0	0	0	0	0
01:35:00	5700	0	0	0	0	0	0	0	0
01:40:00	6000	0	0	0	0	0	0	0	0
01:45:00	6300	0	0	0	0	0	0	0	0
01:50:00	6600	0	0	0	0	0	0	0	0
01:55:00	6900	0	0	0	0	0	0	0	0
02:00:00	7200	0	0	0	0	0	0	0	0
02:05:00	7500	0	0	0	0	0	0	0	0
02:10:00	7800	0	0	0	0	0	0	0	0
02:15:00	8100	0	0	0	0	0	0	0	0
02:20:00	8400	0	0	0	0	0	0	0	0
02:25:00	8700	0	0	0	0	0	0	0	0
02:30:00	9000	0	0	0	0	0	0	0	0
02:35:00	9300	0	0	0	0	0	0	0	0
02:40:00	9600	0	0	0	0	0	0	0	0
02:45:00	9900	0	0	0	0	0	0	0	0
02:50:00	10200	0	0	0	0	0	0	0	0
02:55:00	10500	0	0	0	0	0	0	0	0
03:00:00	10800	0	0	0	0	0	0	0	0
03:05:00	11100	0	0	0	0	0	0	0	0
03:10:00	11400	0	0	0	0	0	0	0	0
03:15:00	11700	0	0	0	0	0	0	0	0
03:20:00	12000	0	0	0	0	0	0	0	0
03:25:00	12300	0	0	0	0	0	0	0	0
03:30:00	12600	0	0	0	0	0	0	0	0
03:35:00	12900	0	0	0	0	0	0	0	0
03:40:00	13200	0	0	0	0	0	0	0	0
03:45:00	13500	0	0	0	0	0	0	0	0
03:50:00	13800	0	0	0	0	0	0	0	0
03:55:00	14100	0	0	0	0	0	0	0	0
04:00:00	14400	0	0	0	0	0	0	0	0
04:05:00	14700	0	0	0	0	0	0	0	0
04:10:00	15000	0	0	0	0	0	0	0	0
04:15:00	15300	0	0	0	0	0	0	0	0
04:20:00	15600	0	0	0	0	0	0	0	0
04:25:00	15900	0	0	0	0	0	0	0	0
04:30:00	16200	0	0	0	0	0	0	0	0
04:35:00	16500	0	0	0	0	0	0	0	0
04:40:00	16800	0	0	0	0	0	0	0	0
04:45:00	17100	0	0	0	0	0	0	0	0
04:50:00	17400	0	0	0	0	0	0	0	0
04:55:00	17700	0	0	0	0	0	0	0	0
05:00:00	18000	0	0	0	0	0	0	0	0
05:05:00	18300	0	0	0	0	0	0	0	0
05:10:00	18600	0	0	0	0	0	0	0	0
05:15:00	18900	0	0	0	0	0	0	0	0
05:20:00	19200	0	0	0	0	0	0	0	0
05:25:00	19500	0	0	0	0	0	0	0	0
05:30:00	19800	0	0	0	0	0	0	0	0
05:35:00	20100	0	0	0	0	0	0	0	0
05:40:00	20400	0	0	0	0	0	0	0	0
05:45:00	20700	0	0	0	0	0	0	0	0
05:50:00	21000	0	0	0	0	0	0	0	0
05:55:00	21300	0	0	0	0	0	0	0	0
06:00:00	21600	0	0	0	0	0	0	0	0
06:05:00	21900	0	0	0	0	0	0	0	0
06:10:00	22200	0	0	0	0	0	0	0	0
06:15:00	22500	0	0	0	0	0	0	0	0
06:20:00	22800	0	0	0	0	0	0	0	0
06:25:00	23100	0	0	0	0	0	0	0	0
06:30:00	23400	0	0	0	0	0	0	0	0
06:35:00	23700	0	0	0	0	0	0	0	0
06:40:00	24000	0	0	0	0	0	0	0	0
06:45:00	24300	0	0	0	0	0	0	0	0
06:50:00	24600	0	0	0	0	0	0	0	0
06:55:00	24900	0	0	0	0	0	0	0	0
07:00:00	25200	0	0	0	0	0	0	0	0
07:05:00	25500	0	0	0	0	0	0	0	0
07:10:00	25800	0	0	0	0	0	0	0	0
07:15:00	26100	0	0	0	0	0	0	0	0
07:20:00	26400	0	0	0	0	0	0	0	0
07:25:00	26700	0	0	0	0	0	0	0	0
07:30:00	27000	80	0	0	80	80	0	0	80
07:35:00	27300	64	0	0	144	64	0	0	144
07:40:00	27600	69	0	0	213	69	0	0	213
07:45:00	27900	56	0	0	269	56	0	0	269
07:50:00	28200	76	0	0	345	76	0	0	345
07:55:00	28500	68	0	0	413	68	0	0	413
08:00:00	28800	7990	1	0	8402	7990	1	0	8402
08:05:00	29100	65	2	0	8465	65	2	0	8465
08:10:00	29400	76	8	0	8533	76	8	0	8533
08:15:00	29700	66	12	0	8587	66	12	0	8587
08:20:00	30000	70	20	0	8637	70	20	0	8637
08:25:00	30300	64	25	0	8676	64	25	0	8676
08:30:00	30600	0	41	0	8635	0	41	0	8635
08:35:00	30900	0	29	0	8606	0	29	0	8606
08:40:00	31200	0	53	0	8553	0	53	0	8553
08:45:00	31500	0	61	0	8492	0	61	0	8492
08:50:00	31800	0	71	0	8421	0	71	0	8421
08:55:00	32100	0	67	0	8354	0	67	0	8354
09:00:00	32400	0	77	0	8277	0	77	0	8277
09:05:00	32700	0	102	0	8175	0	102	0	8175
09:10:00	33000	0	109	0	8066	0	109	0	8066
09:15:00	33300	0	90	0	7976	0	90	0	7976
09:20:00	33600	0	99	0	7877	0	99	0	7877
09:25:00	33900	0	110	0	7767	0	110	0	7767
